Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки
Экономика на Python. Учебник,Хрипунова,,968₽,2 151₽
Black Hat Python. Программирование для хакеров и пентестеров,Зейтц,Питер:Библиотека программиста,1 688₽,2 164₽
Однострочники Python. Лаконичный и содержательный код,Майер Кристиан,Питер:Библиотека программиста,1 688₽,2 164₽
Гид Java-разработчика. Проектно-ориентированный подход,Урма,Бомбора:Мировой компьютерный бестселлер,880₽,1 206₽
"PHP 8. Объекты, шаблоны и методики программирования",Зандстра Мэтт,,3 630₽,8 066₽
Python и DevOps. Ключ к автоматизации Linux,Гифт,Питер:Бестселлеры O`Reilly,2 561₽,3 283₽
Введение в логическое программирование,Дженесерет,,1 529₽,3 397₽
Параллельное программирование на C# и .NET Core,Шакти Танвар,,1 460₽,3 244₽
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань:Компьютеры и программное обеспечение,394₽,875₽
Параллельные и высокопроизводительные вычисления,Роби,,3 365₽,7 478₽
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,2 158₽,4 796₽
Тестирование программного обеспечения,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,407₽,905₽
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,2 519₽,5 598₽
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,2 279₽,5 065₽
Тестирование программного обеспечения. Учебное пособие для СПО,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,407₽,905₽
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,407₽,905₽
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1 320₽,2 933₽
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1 320₽,2 933₽
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3 545₽,4 545₽
Clojure на производстве,Гришаев Иван,,1 391₽,3 091₽
Изучаем SHINY,Уикем Хэдли,,2 224₽,4 943₽
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,,2 085₽,4 634₽
Разработка беспилотных транспортных средств,Лю,,1 529₽,3 397₽
Сети 6G. Путь от 5G к 6G глазами разработчиков,Тонг,,3 199₽,7 108₽
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,Васильева,,484₽,1 076₽
Проектирование цифровых образовательных ресурсов,Коннова,,907₽,2 016₽
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1 020₽,2 266₽
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,,695₽,1 544₽
Head First. Паттерны проектирования,Фримен,Питер:Head First (O'Reilly),2 005₽,2 506₽
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань:Компьютеры и программное обеспечение,1 044₽,2 319₽
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,,2 420₽,5 378₽
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,1 407₽,1 928₽
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,,1 668₽,3 707₽
Паттерны программирования игр,Нистрем Роберт,Бомбора:Мировой компьютерный бестселлер,1 680₽,2 302₽
React. Современные шаблоны для разработки приложений,Бэнкс,Питер:Бестселлеры O`Reilly,1 945₽,2 493₽
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 439₽,3 198₽
ASP.NET CORE в действии,Лок Эндрю,,2 990₽,6 644₽
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,,1 668₽,3 707₽
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс:Российский компьютерный бестселлер,1 062₽,1 455₽
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel. Учебное пособие для вузов,Воскобойников Юрий Евгеньевич,Лань:Компьютеры и программное обеспечение,1 733₽,3 851₽
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков,Лань:Компьютеры и программное обеспечение,2 158₽,4 796₽
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 439₽,3 198₽
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань:Компьютеры и программное обеспечение,1 320₽,2 933₽
Ghidra. Полное руководство,Игл,,2 920₽,6 489₽
Изучаем WinUI 3.0,Эшкрафт Элвин,,1 391₽,3 091₽
C# 9.0. Справочник. Полное описание языка,Албахари Джозеф,,4 274₽,9 498₽
Изучаем квантовые вычисления на Python и Q#,Кайзер,,2 364₽,5 253₽
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань:Учебники для вузов. Специальная литература,1 526₽,3 392₽
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников,,955₽,2 123₽
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1 572₽,3 494₽
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер:Библиотека программиста,1 185₽,1 519₽
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,,903₽,2 006₽
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,Ханнес,,1 460₽,3 244₽
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус:Бакалавриат,914₽,2 032₽
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,2 521₽,3 232₽
Безопасно by Design,Берг,Питер:Библиотека программиста,2 213₽,2 837₽
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,1 198₽,2 662₽
Искусство тестирования на проникновение в сеть,Дэвис Ройс,,1 529₽,3 397₽
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,,1 529₽,3 397₽
Программная инженерия. Учебное пособие,Маран Михкель Михкелевич,Лань:Учебники для вузов. Специальная литература,1 628₽,3 618₽
Алгоритмы обработки текста. 125 задач с решениями,Крошемор,,1 668₽,3 707₽
Аналитика в Power BI с помощью R и Python,Уэйд Райан,,2 085₽,4 634₽
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,,2 364₽,5 253₽
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,,2 364₽,5 253₽
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,Тюкачев,Лань:Компьютеры и программное обеспечение,2 845₽,6 323₽
"Python, например",Лейси Никола,Питер:Библиотека программиста,1 589₽,2 037₽
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,,2 420₽,5 378₽
Знакомство с программированием на языке Processing,Риас,,1 042₽,2 316₽
Принятие решений и феномен неопределенности. Учебное пособие для вузов,Клименко Игорь Семенович,Лань:Компьютеры и программное обеспечение,1 250₽,2 778₽
C#. Основы программирования (+CD). Учебное пособие для СПО,Тюкачев,Лань:Компьютеры и программное обеспечение,1 623₽,3 607₽
Оформление программного кода,Столяров Андрей Викторович,,695₽,1 544₽
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,,2 503₽,5 563₽
Имитационное моделирование процессов и систем в АПК. Учебное пособие,Худякова,Колос:Учебники и учебные пособия для студентов вузов,1 580₽,3 512₽
Наглядный CSS,Сидельников Грег,Питер:Библиотека программиста,1 404₽,1 800₽
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,1 888₽,4 196₽
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,1 800₽,4 000₽
Программирование. Сборник задач. Учебное пособие для СПО,Маран,Лань:Компьютеры и программное обеспечение,1 112₽,2 471₽
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань:Математика,1 023₽,2 274₽
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,,1 807₽,4 016₽
Обработка и представление данных в MS Excel. Учебное пособие,Бурнаева,Лань:Компьютеры и программное обеспечение,742₽,1 649₽
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,1 443₽,3 206₽
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,,4 838₽,10 752₽
Создаем динамические веб-сайты на PHP,Татро,Питер:Бестселлеры O`Reilly,2 325₽,2 981₽
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Компьютеры и программное обеспечение,957₽,2 127₽
HTTP/2 в действии,Поллард Барри,,2 224₽,4 943₽
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,,1 391₽,3 091₽
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер:Библиотека программиста,2 793₽,3 581₽
Python. Лучшие практики и инструменты,Яворски,Питер:Библиотека программиста,2 793₽,3 581₽
Разработка и анализ компьютерных алгоритмов,Ахо,,1 855₽,4 123₽
Научное программирование на Python,Хилл Кристиан,,2 224₽,4 943₽
C#. Программирование 2D и 3D векторной графики. Учебное пособие для СПО,Тюкачев,Лань:Компьютеры и программное обеспечение,1 623₽,3 607₽
Алгоритмизация и программирование. Практикум,Андрианова,Лань:Компьютеры и программное обеспечение,1 274₽,2 831₽
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,Заяц,Лань:Компьютеры и программное обеспечение,1 283₽,2 852₽
Построение распределенных систем на базе WebSocket. Учебное пособие,Хабаров,Лань:Компьютеры и программное обеспечение,1 586₽,3 524₽
Практическое введение в язык программирования Си. СПО,Солдатенко,Лань:Компьютеры и программное обеспечение,819₽,1 820₽
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО,Заяц,Лань:Компьютеры и программное обеспечение,1 055₽,2 344₽
Простой Python для опытных программистов,Гаско Рик,Солон-пресс:Программирование,765₽,1 701₽
Профессиональная разработка на Python,Уилкс Мэттью,,2 643₽,5 873₽
SimInTech. Преобразователи автономных источников электроэнергии,Калачёв,,1 042₽,2 316₽
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1 079₽,2 398₽
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,960₽,2 133₽
Разработка базы данных в Access. Учебное пособие,Волик Мария Владимировна,,302₽,672₽
Основы программирования на языке С. Учебное пособие,Гагарина,ИНФРА-М:Высшее образование. Бакалавриат,1 512₽,3 360₽
C++ для профи,Лоспинозо Джош,Питер:Для профессионалов,3 261₽,4 181₽
Интеллектуальные информационные системы и методы искусственного интеллекта. Учебник,Андрейчиков,ИНФРА-М:Высшее образование. Магистратура,2 879₽,6 398₽
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань:Компьютеры и программное обеспечение,1 707₽,3 793₽
Python. Сборник упражнений,Стивенсон Бен,,972₽,2 161₽
Карьера программиста,Лакман Макдауэлл Гейл,Питер:Библиотека программиста,2 127₽,2 727₽
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер:Бестселлеры O`Reilly,2 901₽,3 719₽
Структуры и алгоритмы обработки данных. Учебник для СПО,Павлов,Лань:Компьютеры и программное обеспечение,990₽,2 200₽
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,2 779₽,6 176₽
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань:Компьютеры и программное обеспечение,1 888₽,4 196₽
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,,2 781₽,6 179₽
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,Фоукс,,1 807₽,4 016₽
Моделирование и оптимизация процессов управления в технологических системах. Учебник,Колтунов,Кнорус:Магистратура,823₽,1 828₽
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,,1 668₽,3 707₽
JavaScript. Полное руководство,Флэнаган Дэвид,,3 630₽,8 066₽
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,Гвоздева,Лань:Компьютеры и программное обеспечение,900₽,2 001₽
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем",Гвоздева,Лань:Компьютеры и программное обеспечение,1 183₽,2 628₽
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань:Компьютеры и программное обеспечение,1 837₽,4 083₽
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1 546₽,3 436₽
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,Кудинов,Лань:Компьютеры и программное обеспечение,1 670₽,3 710₽
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер:Для профессионалов,5 460₽,7 000₽
Принципы юнит-тестирования,Хориков Владимир,Питер:Для профессионалов,1 413₽,1 811₽
Простой Python. Современный стиль программирования,Любанович Билл,Питер:Бестселлеры O`Reilly,1 613₽,2 016₽
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,,1 391₽,3 091₽
Олимпиадное программирование,Лааксонен Антти,,1 460₽,3 244₽
Алгоритмы и структуры данных. Учебное пособие,Мясникова Нелли Александровна,Кнорус:Бакалавриат,914₽,2 032₽
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань:Компьютеры и программное обеспечение,837₽,1 860₽
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань:Компьютеры и программное обеспечение,389₽,864₽
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,Иванько,Лань:Компьютеры и программное обеспечение,538₽,1 196₽
Распределенные системы,Таненбаум,,2 643₽,5 873₽
Алгебра и геометрия с примерами на Python. Учебное пособие,Борзунов,Лань:Компьютеры и программное обеспечение,3 224₽,7 164₽
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Журавлев,Лань:Компьютеры и программное обеспечение,1 322₽,2 938₽
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,1 766₽,3 925₽
Hello World! Программирование для детей и взрослых,Сэнд,,1 529₽,3 397₽
Методология создания информационных систем. Учебное пособие,Карминский,ИНФРА-М:Среднее профессиональное образование,1 391₽,3 092₽
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Среднее профессиональное образование,1 670₽,3 710₽
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань:Компьютеры и программное обеспечение,1 751₽,3 892₽
Создание сайтов на основе WordPress. Учебное пособие для СПО,Сергеев Алексей Николаевич,Лань:Компьютеры и программное обеспечение,689₽,1 530₽
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",Мицуфуджи,,2 085₽,4 634₽
Инфокоммуникационные системы. Учебник,Журавлев,Лань:Компьютеры и программное обеспечение,1 999₽,4 442₽
Инфокоммуникационные системы. Учебник,Журавлев,Лань:Компьютеры и программное обеспечение,2 247₽,4 993₽
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер:Бестселлеры O`Reilly,1 700₽,2 179₽
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services",Феррари,,2 850₽,6 334₽
Хаос-инжиниринг,Розенталь,,1 668₽,3 707₽
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,Кехтарнаваз,,1 251₽,2 781₽
Спортивное программирование. Новый нижний предел соревнований по программированию,Халим,,2 224₽,4 943₽
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,,302₽,672₽
Искусство тестирования программ,Сандлер,,2 420₽,5 378₽
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Среднее профессиональное образование,588₽,1 306₽
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,,1 668₽,3 707₽
Разработка и реализац.портальн.решений: Практикум,Лукьянов,,484₽,1 076₽
Генетические алгоритмы на Python,Вирсански Эйял,,1 807₽,4 016₽
C#. Основы программирования. Учебное пособие,Тюкачев,Лань:Учебники для вузов. Специальная литература,1 868₽,4 152₽
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,720₽,1 600₽
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер:Для профессионалов,4 427₽,5 676₽
Istio. Приступаем к работе,Калькот,,1 529₽,3 397₽
Проектирование веб-API,Лоре Арно,,1 668₽,3 707₽
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер:Для профессионалов,2 694₽,3 454₽
Эволюционные нейросети на языке Python,Омельяненко Ярослав,,1 668₽,3 707₽
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,,1 668₽,3 707₽
Цифровой синтез. Практический курс,Романов,,1 947₽,4 326₽
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань:Учебники для вузов. Специальная литература,874₽,1 943₽
Криптография и взлом шифров на Python,Свейгарт Эл,,1 855₽,4 123₽
Программист-прагматик,Томас,,2 420₽,5 378₽
Параллельное программирование на C++ с помощью библиотеки TBB,Восс,,2 781₽,6 179₽
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,,1 807₽,4 016₽
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,Феррари,,1 460₽,3 244₽
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,,1 668₽,3 707₽
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,Льюис,,1 807₽,4 016₽
Паттерны объектно-ориентированного проектирования,Гамма,Питер:Библиотека программиста,846₽,1 057₽
Управление памятью в .NET для профессионалов,Кокоса Конрад,,2 850₽,6 334₽
Исследование операций и методы оптимизации. Учебное пособие,Болотский,Лань:Учебники для вузов. Специальная литература,396₽,881₽
Веб-компоненты в действии,Фаррелл Бен,,1 529₽,3 397₽
Глубокое обучение. Погружение в мир нейронных сетей,Николенко,Питер:Библиотека программиста,1 554₽,1 992₽
Архитектура компьютерных систем. Курс лекций. Учебное пособие,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,993₽,2 206₽
Разработка программных модулей программного обеспечения для компьютерных систем,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,1 760₽,3 912₽
Основы программирования информационного контента. Учебное пособие,Быкадорова,Лань:Учебники для вузов. Специальная литература,505₽,1 122₽
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,3 068₽,6 818₽
Введение в глубокое обучение,Черняк Евгений,,968₽,2 152₽
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,,1 391₽,3 091₽
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,Бастрон,,370₽,823₽
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,,454₽,1 008₽
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1 251₽,2 781₽
Обучение с подкреплением,Саттон,,3 199₽,7 108₽
Рекомендательные системы на практике,Фальк Ким,,1 807₽,4 016₽
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,,1 807₽,4 016₽
Java Concurrency на практике,Гетц,Питер:Для профессионалов,1 841₽,2 360₽
C# 8.0. Карманный справочник,Албахари,,968₽,2 152₽
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли,,3 065₽,6 810₽
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,1 953₽,2 676₽
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации",Лонг,,2 224₽,4 943₽
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,Нидхем,,1 529₽,3 397₽
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,,1 807₽,4 016₽
Python. Непрерывная интеграция и доставка,Ленц Мориц,,1 042₽,2 316₽
Объектно-ориентированный подход,Вайсфельд Мэтт,Питер:Библиотека программиста,1 288₽,1 651₽
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1 316₽,1 645₽
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,,3 630₽,8 066₽
Изучаем Python. Том 2,Лутц Марк,,3 065₽,6 810₽
Волшебство Kotlin,Симон Пьер-Ив,,2 017₽,4 482₽
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,Карпов,Солон-пресс:Библиотека профессионала,557₽,1 238₽
Обработка естественного языка с TensorFlow,Ганегедара Тушан,,2 224₽,4 943₽
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,1 960₽,4 355₽
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,799₽,1 775₽
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,Гартман,Лань:Учебники для вузов. Специальная литература,2 345₽,5 212₽
Алгоритмы. Вводный курс,Кормен Томас,,1 210₽,2 688₽
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,,1 807₽,4 016₽
ELIXIR в действии,Юрич Саша,,2 085₽,4 634₽
Глубокое обучение для поисковых систем,Теофили Томмазо,,1 391₽,3 091₽
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,1 735₽,3 856₽
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1 953₽,2 676₽
Байесовский анализ на Python,Мартин Освальдо,,1 668₽,3 707₽
Состязательные сети. Проекты,Ахирвар Кайлаш,,1 251₽,2 781₽
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,,1 112₽,2 471₽
Как стать хакером,Притяну Эдриан,,1 668₽,3 707₽
Шаблоны проектирования для облачной среды,Дэвис Корнелия,,1 807₽,4 016₽
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",1 452₽,3 227₽
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина,Форум:Среднее профессиональное образование,1 778₽,3 952₽
Глубокое обучение и игра в го,Памперла,,2 224₽,4 943₽
1400 задач по программированию,Златопольский Дмитрий Михайлович,,555₽,1 234₽
Бессерверные приложения на JavaScipt,Стоянович,,1 598₽,3 552₽
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,347₽,770₽
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,409₽,908₽
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,256₽,568₽
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,371₽,825₽
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,162₽,361₽
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,371₽,825₽
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,533₽,1 184₽
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,222₽,494₽
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,511₽,1 135₽
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,209₽,464₽
VHDL. Справочное пособие по основам языка,Бабак,ДМК-Пресс:Программируемые системы,972₽,2 161₽
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова,Форум:Высшее образование: Бакалавриат,2 044₽,4 543₽
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань:Учебники для вузов. Специальная литература,2 158₽,4 796₽
Практика нейросетевого моделирования. Учебное пособие,Хливненко,Лань:Учебники для вузов. Специальная литература,1 414₽,3 143₽
Алгоритмы эволюционной оптимизации,Саймон Дэн,,2 781₽,6 179₽
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР:Наука и практика,1 851₽,4 113₽
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1 341₽,2 980₽
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,1 800₽,4 000₽
Docker на практике,Миллан,,2 224₽,4 943₽
Swift подробно,Чейрд Инт Вейн,,2 224₽,4 943₽
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,253₽,562₽
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,,1 807₽,4 016₽
Изучаем Python. Том 1,Лутц Марк,,3 065₽,6 810₽
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,Фаулер Мартин,,3 630₽,8 066₽
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,Чио,,1 460₽,3 244₽
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,,1 251₽,2 781₽
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Учебники для вузов. Специальная литература,904₽,2 008₽
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер:Библиотека программиста,1 206₽,1 546₽
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум:Среднее профессиональное образование,1 422₽,3 159₽
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,256₽,568₽
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,511₽,1 135₽
Программирование. Сборник задач. Учебное пособие,Архипов,Лань:Учебники для вузов. Специальная литература,1 586₽,3 524₽
Python. Книга Рецептов,Бизли,,2 503₽,5 563₽
Грокаем глубокое обучение,Траск Эндрю,Питер:Библиотека программиста,1 545₽,
Практика реактивного программирования в SPRING 5,Докука,,2 364₽,5 253₽
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,,2 085₽,4 634₽
Объектно-ориентированное программирование. Учебник,Барков Игорь Александрович,Лань:Учебники для вузов. Специальная литература,4 436₽,9 858₽
