Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки
Линейное программирование. Часть 1. Учебное пособие для бакалавриата,Шандра Игорь Георгиевич,,423₽,941₽
Level up! Руководство по созданию классных видеоигр,Роджерс Скотт,Бомбора:Мировой компьютерный бестселлер,1 590₽,2 178₽
Современный С++. Безопасное использование,Лакос,,3 635₽,8 078₽
Модернизация Java Enterprise. Облачные технологии для разработчиков,Эйзеле,Питер:Бестселлеры O`Reilly,2 114₽,2 710₽
NeoBook. Практикум по быстрому программированию с нуля,Лёвкин Вадим Евгеньевич,,531₽,1 181₽
Разработка веб-приложений с Quarkus и React,Марк Нури Сан Феликс,,1 947₽,4 326₽
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие,Букунов,Лань:Компьютеры и программное обеспечение,498₽,1 107₽
Инструментальные средства инфокоммуникационных систем. Теория и практика. Учебное пособие,Заяц,Лань:Компьютеры и программное обеспечение,2 224₽,4 943₽
Программирование микропроцессорных систем на языке С-51. Учебное пособие,Микушин Александр Владимирович,Лань:Компьютеры и программное обеспечение,1 011₽,2 247₽
Программирование микропроцессорных систем на языке С-51. Учебное пособие для СПО,Микушин Александр Владимирович,Лань:Компьютеры и программное обеспечение,879₽,1 954₽
Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для вузов,Микушин Александр Владимирович,Лань:Компьютеры и программное обеспечение,363₽,806₽
Программирование микропроцессорных систем на языке ASM-51. Учебное пособие для СПО,Микушин Александр Владимирович,Лань:Компьютеры и программное обеспечение,315₽,700₽
Кодер с улицы. Правила нарушать рекомендуется,Капаноглу Седат,Питер:Библиотека программиста,1 972₽,2 528₽
"Тайная жизнь программ. Как создать код, который понравится вашему компьютеру",Стейнхардт Пол,Питер:Для профессионалов,3 333₽,4 273₽
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань:Компьютеры и программное обеспечение,653₽,1 450₽
Информационные технологии в инженерных расчетах. SMath и Python. Учебное пособие,Очков,Лань:Компьютеры и программное обеспечение,2 183₽,4 852₽
Языки программирования. Python. Решение сложных задач. Учебное пособие для вузов,Борзунов,Лань:Компьютеры и программное обеспечение,1 370₽,3 044₽
Языки программирования. Python. Решение сложных задач. Учебное пособие для СПО,Борзунов,Лань:Компьютеры и программное обеспечение,1 192₽,2 648₽
Практикум по программированию на PascalABC.NET,Савина Елена Владимировна,,392₽,870₽
React. Быстрый старт,Стефанов Стоян,Питер:Бестселлеры O`Reilly,2 528₽,
"Роберт Мартин рекомендует. Код, который умещается в голове. Эвристики для разработчиков",Симан Марк,Питер:Библиотека программиста,2 891₽,
Трехмерное глубокое обучение на Python,Ма,,1 807₽,4 016₽
Интеллектуальные обучающие системы на основе интегрированных экспертных систем,Рыбина Галина Валентиновна,,407₽,905₽
Цифровизация процессов управления  медико-гигиеническими рисками на производственных предприятиях,Шипилов Игорь Викторович,,1 096₽,2 435₽
GPT-3. Руководство по использованию API Open AI,Кублик,,1 112₽,2 471₽
Docker Compose для разработчика,Гадзурас Эммануил,,1 668₽,3 707₽
Безопасность ASP. NET Core,Венц Кристиан,,2 433₽,5 407₽
Разработка интеллектуальных систем для обработки сигналов с датчиков давления. Монография,Пылов,,779₽,1 730₽
Linux. Командная строка. Лучшие практики,Барретт Дэниел Джей,Питер:Бестселлеры O`Reilly,2 181₽,
Python для data science,Васильев Юлий,Питер:Библиотека программиста,2 164₽,
